발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20180711,돌산 상동,없음,,,24.1,24.1,20180711-001
20180711,돌산 상동,없음,,,24.1,24.1,20180711-001
20180711,돌산 상동,없음,,,24.1,24.1,20180711-001
20180711,돌산 상동,없음,,,24.1,24.1,20180711-001
20180711,돌산 상동,Leptocylindrus danicus,1200,640,24.1,24.1,20180711-001
20180711,돌산 상동,Chaetoceros curvisetus,1250,520,24.1,24.1,20180711-001
20180711,돌산 상동,Leptocylindrus danicus,1650,840,24.1,24.1,20180711-001
20180711,돌산 상동,Chaetoceros curvisetus,650,240,24.1,24.1,20180711-001
20180711,돌산 상동,Leptocylindrus danicus,1500,750,24.1,24.1,20180711-001
20180711,돌산 상동,Chaetoceros curvisetus,480,320,24.1,24.1,20180711-001
20180711,돌산 향일암,없음,,,24,24,20180711-001
20180711,돌산 향일암,없음,,,24,24,20180711-001
20180711,돌산 향일암,없음,,,24,24,20180711-001
20180711,돌산 향일암,없음,,,24,24,20180711-001
20180711,돌산 향일암,없음,,,24,24,20180711-001
20180711,돌산 향일암,Leptocylindrus danicus,1200,640,24,24,20180711-001
20180711,돌산 향일암,Chaetoceros curvisetus,1250,520,24,24,20180711-001
20180711,돌산 향일암,Leptocylindrus danicus,1650,840,24,24,20180711-001
20180711,돌산 향일암,Chaetoceros curvisetus,650,240,24,24,20180711-001
20180711,돌산 향일암,Leptocylindrus danicus,1500,750,24,24,20180711-001
20180711,돌산 향일암,Chaetoceros curvisetus,480,320,24,24,20180711-001
20180711,돌산 두문포,없음,,,24.8,24.8,20180711-001
20180711,돌산 두문포,없음,,,24.8,24.8,20180711-001
20180711,돌산 두문포,없음,,,24.8,24.8,20180711-001
20180711,돌산 두문포,없음,,,24.8,24.8,20180711-001
20180711,돌산 두문포,없음,,,24.8,24.8,20180711-001
